City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cockburn town,21.4612,-71.1419,27.19,79,10,7.38,TC,1701834678
1,badger,64.8,-147.5333,-17.58,83,100,1.54,US,1701834412
2,sirjan,29.452,55.6814,8.99,20,0,0.76,IR,1701834679
3,iqaluit,63.7506,-68.5145,-14.15,84,20,1.03,CA,1701834679
4,blackmans bay,-43.0167,147.3167,22.07,37,8,1.34,AU,1701834679
5,grytviken,-54.2811,-36.5092,1.74,74,100,7.17,GS,1701834679
6,tiksi,71.6872,128.8694,-19.8,92,100,6.67,RU,1701834680
7,albany,42.6001,-73.9662,-0.23,90,100,1.19,US,1701834680
8,manta,-0.95,-80.7333,24.88,83,100,4.12,EC,1701834680
9,afaahiti,-17.75,-149.2833,24.93,81,100,4.26,PF,1701834680
10,stanley,54.868,-1.6985,-0.68,96,75,0.51,GB,1701834681
11,avarua,-21.2078,-159.775,27.03,74,40,6.69,CK,1701834681
12,salta,-24.7859,-65.4117,18.33,87,100,2.57,AR,1701834681
13,port-aux-francais,-49.35,70.2167,6.59,94,100,11.3,TF,1701834681
14,qamdo,31.1667,97.2333,-5.6,26,78,0.77,CN,1701834681
15,waitangi,-43.9535,-176.5597,14.9,80,100,4.92,NZ,1701834682
16,georgetown,5.4112,100.3354,32.19,71,20,2.57,MY,1701834682
17,valley city,46.9233,-98.0032,-0.71,100,0,6.69,US,1701834682
18,longyearbyen,78.2186,15.6401,-5.09,74,20,8.75,SJ,1701834682
19,olonkinbyen,70.9221,-8.7187,-3.06,76,99,5.94,SJ,1701834683
20,puerto natales,-51.7236,-72.4875,4.15,78,38,3.6,CL,1701834683
21,adamstown,-25.066,-130.1015,22.57,83,100,5.78,PN,1701834683
22,haiku-pauwela,20.9219,-156.3051,25.01,68,20,11.32,US,1701834683
23,west island,-12.1568,96.8225,28.99,79,75,5.66,CC,1701834683
24,ilulissat,69.2167,-51.1,-10.99,52,6,3.6,GL,1701834684
25,tralee,52.2704,-9.7026,8.85,92,100,5.22,IE,1701834684
26,puerto ayora,-0.7393,-90.3518,24.19,94,61,1.34,EC,1701834684
27,vorgashor,67.5833,63.95,-27.78,94,61,1.02,RU,1701834684
28,bardai,11.65,7.2333,17.63,20,5,4.42,NG,1701834685
29,northam,51.0333,-4.2167,3.14,84,26,3.9,GB,1701834685
30,tofol,5.3248,163.0078,28.88,79,75,4.12,FM,1701834685
31,lyepyel',54.8814,28.6932,-12.15,98,97,1.76,BY,1701834685
32,chiungutwa,-10.8833,38.9833,25.2,79,23,0.64,TZ,1701834685
33,erenhot,43.6475,111.9767,-4.46,54,92,7.0,CN,1701834686
34,lihue,21.9789,-159.3672,28.58,88,100,8.23,US,1701834639
35,hamilton,39.1834,-84.5333,4.97,91,100,4.63,US,1701834531
36,iskateley,67.6803,53.1512,-32.77,99,58,1.79,RU,1701834686
37,kayes,14.0,-11.0,23.1,14,0,2.6,ML,1701834686
38,san pedro pochutla,15.7333,-96.4667,23.99,85,27,1.51,MX,1701834687
39,tulun,54.5611,100.5792,-17.12,92,100,3.65,RU,1701834687
40,selfoss,63.9331,-20.9971,-3.06,72,100,4.94,IS,1701834687
41,arraial do cabo,-22.9661,-42.0278,23.67,94,45,6.63,BR,1701834687
42,gulu,2.7746,32.299,19.26,90,80,1.4,UG,1701834687
43,san patricio,28.017,-97.5169,18.92,76,100,2.53,US,1701834687
44,wailua homesteads,22.0669,-159.378,28.24,89,100,8.23,US,1701834688
45,kodiak,57.79,-152.4072,-1.27,59,20,20.06,US,1701834688
46,kalevala,65.2,31.1667,-12.17,98,100,1.34,RU,1701834688
47,port saint john's,-31.6229,29.5448,18.58,84,100,4.05,ZA,1701834688
48,vilyuchinsk,52.9306,158.4028,-2.85,67,10,3.92,RU,1701834688
49,chernyshevskiy,63.0128,112.4714,-34.72,98,100,0.8,RU,1701834395
50,igarka,67.4667,86.5833,-37.24,94,7,2.73,RU,1701834689
51,bethel,41.3712,-73.414,3.05,70,100,0.0,US,1701834689
52,gadzhiyevo,69.2551,33.3362,-11.17,81,100,4.34,RU,1701834689
53,invercargill,-46.4,168.35,15.61,62,97,2.32,NZ,1701834687
54,ushuaia,-54.8,-68.3,5.81,75,40,18.52,AR,1701834689
55,carloforte,39.145,8.3058,14.2,59,100,6.2,IT,1701834689
56,nemuro,43.3236,145.575,8.14,82,51,1.77,JP,1701834689
